Pick #,Jimmy Johnson,Rich Hill,Fitzgerald/Spielberger,Kevin Meers,PFF,Michael Lopez,Chase Stuart,Ben Baldwin (Surplus Value),Ben Baldwin (On-Field Value)
204,8.2,4,305,39,0.065,8.8,0.7,7,10
205,7.8,4,302,38.6,0.065,8.6,0.7,7,10
206,7.4,4,300,38.2,0.064,8.6,0.7,7,10
207,7,4,298,37.8,0.063,8.5,0.6,6,10
208,6.6,4,295,37.4,0.063,8.4,0.6,6,10
209,6.2,4,293,37,0.062,8.4,0.6,6,10
210,5.8,4,290,36.6,0.061,8.3,0.6,6,10
211,5.4,4,288,36.3,0.061,8.3,0.5,6,10
212,5,4,285,35.9,0.06,8.3,0.5,6,10
213,4.6,4,283,35.5,0.06,8.2,0.5,5,9
214,4.2,3,281,35.1,0.06,8.2,0.4,5,9
215,3.8,3,278,43.5,0.059,8.2,0.4,5,9
216,3.4,3,276,43.1,0.059,8.1,0.4,5,9
217,3,3,274,42.6,0.058,8.1,0.3,5,9
218,2.3,3,271,42.2,0.058,8,0.3,5,9
219,2,3,269,41.8,0.058,8,0.3,5,9
220,1.7,3,267,41.4,0.057,8,0.3,4,9
221,1.4,3,264,41,0.057,8,0.2,4,9
222,1.7,3,262,40.6,0.056,8,0.2,4,9
223,1.4,3,260,40.2,0.056,8,0.2,4,9
224,1.1,3,258,39.8,0.056,8,0.1,4,9
225,1,3,255,40,0.055,7.9,0.1,4,9
226,1,3,253,40,0.055,7.9,0.1,4,8
227,1,3,251,40,0.054,7.9,0.1,4,8
228,1,3,249,40,0.054,7.9,0.1,3,8
229,1,3,246,40,0.054,7.9,0.1,3,8
230,1,2,244,40,0.053,7.9,0.1,3,8
231,1,2,242,40,0.053,7.9,0.1,3,8
232,1,2,240,40,0.052,7.9,0.1,3,8
233,1,2,238,40,0.052,7.9,0.1,3,8
234,1,2,235,40,0.052,7.9,0.1,3,8
235,1,2,233,40,0.051,7.9,0.1,3,8
236,1,2,231,40,0.051,7.9,0.1,3,8
237,1,2,229,40,0.051,7.9,0.1,3,8
238,1,2,227,40,0.05,7.9,0.1,2,8
239,1,2,225,40,0.05,7.9,0.1,2,8
240,1,2,223,40,0.05,7.9,0.1,2,8
241,1,2,220,40,0.05,7.9,0.1,2,8
242,1,2,218,40,0.05,7.9,0.1,2,8
243,1,2,216,40,0.049,7.9,0.1,2,8
244,1,2,214,40,0.049,7.9,0.1,2,7
